,State,County,Median AQI
504,Nebraska,Douglas,45
505,Nebraska,Gage,34
506,Nebraska,Hall,35
507,Nebraska,Knox,41
508,Nebraska,Lancaster,42
509,Nebraska,Sarpy,37
510,Nebraska,Scotts Bluff,21
511,Nebraska,Washington,33
512,Nevada,Carson City,47
513,Nevada,Churchill,43
514,Nevada,Clark,61
515,Nevada,Douglas,28
516,Nevada,Elko,31
517,Nevada,Lyon,41
518,Nevada,Nye,19
519,Nevada,Washoe,50
520,Nevada,White Pine,44
521,New Hampshire,Belknap,35
522,New Hampshire,Cheshire,41
523,New Hampshire,Coos,43
524,New Hampshire,Grafton,37
525,New Hampshire,Hillsborough,39
526,New Hampshire,Merrimack,39
527,New Hampshire,Rockingham,40
528,New Jersey,Atlantic,38
529,New Jersey,Bergen,48
530,New Jersey,Camden,50
531,New Jersey,Cumberland,43
532,New Jersey,Gloucester,43
533,New Jersey,Hudson,44
534,New Jersey,Hunterdon,44
535,New Jersey,Mercer,49
536,New Jersey,Middlesex,44
537,New Jersey,Monmouth,39
538,New Jersey,Morris,37
539,New Jersey,Ocean,42
540,New Jersey,Passaic,42
541,New Jersey,Union,52
542,New Jersey,Warren,41
543,New Mexico,Bernalillo,59
544,New Mexico,Catron,13
545,New Mexico,Chaves,24
546,New Mexico,Dona Ana,52
547,New Mexico,Eddy,49
548,New Mexico,Lea,45
549,New Mexico,Lincoln,14
550,New Mexico,Los Alamos,14
551,New Mexico,Luna,16
552,New Mexico,Rio Arriba,43
553,New Mexico,San Juan,46
554,New Mexico,Sandoval,44
555,New Mexico,Santa Fe,44
556,New Mexico,Socorro,14
557,New Mexico,Taos,20
558,New Mexico,Valencia,42
559,New York,Albany,42
560,New York,Bronx,47
561,New York,Chautauqua,37
562,New York,Dutchess,33
563,New York,Erie,48
564,New York,Essex,42
565,New York,Hamilton,33
566,New York,Jefferson,33
567,New York,Kings,46
568,New York,Monroe,42
569,New York,Nassau,31
570,New York,New York,48
571,New York,Niagara,33
572,New York,Oneida,32
573,New York,Onondaga,40
574,New York,Orange,34
575,New York,Oswego,33
576,New York,Putnam,32
577,New York,Queens,50
578,New York,Richmond,42
579,New York,Rockland,38
580,New York,Saratoga,31
581,New York,Steuben,40
582,New York,Suffolk,41
583,New York,Tompkins,35
584,New York,Wayne,33
585,New York,Westchester,39
586,North Carolina,Alexander,38
587,North Carolina,Avery,39
588,North Carolina,Buncombe,43
589,North Carolina,Caldwell,40
590,North Carolina,Carteret,38
591,North Carolina,Caswell,36
592,North Carolina,Catawba,43
593,North Carolina,Cumberland,48
594,North Carolina,Davidson,47
595,North Carolina,Durham,44
596,North Carolina,Edgecombe,41
597,North Carolina,Forsyth,52
598,North Carolina,Graham,46
599,North Carolina,Granville,43
600,North Carolina,Guilford,50
601,North Carolina,Haywood,45
602,North Carolina,Hyde,26
603,North Carolina,Johnston,44
604,North Carolina,Lenoir,39
605,North Carolina,Lincoln,43
606,North Carolina,Macon,34
607,North Carolina,Martin,36
608,North Carolina,Mecklenburg,51
609,North Carolina,Mitchell,33
610,North Carolina,Montgomery,48
611,North Carolina,New Hanover,44
612,North Carolina,Northampton,37
613,North Carolina,Person,41
614,North Carolina,Pitt,42
615,North Carolina,Rockingham,43
616,North Carolina,Rowan,47
617,North Carolina,Swain,40
618,North Carolina,Union,43
619,North Carolina,Wake,49
620,North Carolina,Yancey,45
621,North Dakota,Billings,39
622,North Dakota,Burke,44
623,North Dakota,Burleigh,42
624,North Dakota,Cass,50
625,North Dakota,Dunn,41
626,North Dakota,McKenzie,39
627,North Dakota,Mercer,41
628,North Dakota,Oliver,42
629,North Dakota,Ward,42
630,Ohio,Allen,44
631,Ohio,Ashtabula,42
632,Ohio,Athens,31
633,Ohio,Belmont,31
634,Ohio,Butler,56
635,Ohio,Clark,50
636,Ohio,Clermont,41
637,Ohio,Clinton,44
638,Ohio,Columbiana,11
639,Ohio,Cuyahoga,57
640,Ohio,Delaware,41
641,Ohio,Franklin,54
642,Ohio,Geauga,41
643,Ohio,Greene,44
644,Ohio,Hamilton,54
645,Ohio,Jefferson,49
646,Ohio,Knox,42
647,Ohio,Lake,42
648,Ohio,Lawrence,46
649,Ohio,Licking,43
650,Ohio,Lorain,37
651,Ohio,Lucas,45
652,Ohio,Madison,44
653,Ohio,Mahoning,49
654,Ohio,Medina,44
655,Ohio,Miami,43
656,Ohio,Montgomery,51
657,Ohio,Noble,39
658,Ohio,Portage,43
659,Ohio,Preble,46
660,Ohio,Scioto,44
661,Ohio,Stark,52
662,Ohio,Summit,46
663,Ohio,Trumbull,48
664,Ohio,Warren,44
665,Ohio,Washington,42
666,Ohio,Wood,40
667,Oklahoma,Adair,51
668,Oklahoma,Canadian,45
669,Oklahoma,Carter,48
670,Oklahoma,Cleveland,52
671,Oklahoma,Comanche,46
672,Oklahoma,Creek,44
673,Oklahoma,Dewey,46
674,Oklahoma,Grant,32
675,Oklahoma,Jefferson,46
676,Oklahoma,Johnston,46
677,Oklahoma,Kay,49
678,Oklahoma,Mayes,42
679,Oklahoma,McClain,48
680,Oklahoma,Nowata,54
681,Oklahoma,Oklahoma,53
682,Oklahoma,Osage,43
683,Oklahoma,Ottawa,54
684,Oklahoma,Pittsburg,49
685,Oklahoma,Pontotoc,42
686,Oklahoma,Sequoyah,46
687,Oklahoma,Tulsa,53
688,Oregon,Baker,30
689,Oregon,Clackamas,34
690,Oregon,Columbia,29
691,Oregon,Crook,33
692,Oregon,Deschutes,28
693,Oregon,Grant,44
694,Oregon,Harney,43
695,Oregon,Jackson,45
696,Oregon,Jefferson,31
697,Oregon,Josephine,44
698,Oregon,Klamath,39
699,Oregon,Lake,28
700,Oregon,Lane,49
701,Oregon,Linn,34
702,Oregon,Marion,38
703,Oregon,Multnomah,38
704,Oregon,Umatilla,42
705,Oregon,Union,26
706,Oregon,Wallowa,25
707,Oregon,Wasco,27
708,Oregon,Washington,36
709,Pennsylvania,Adams,50
710,Pennsylvania,Allegheny,56
711,Pennsylvania,Armstrong,44
712,Pennsylvania,Beaver,52
713,Pennsylvania,Berks,48
714,Pennsylvania,Blair,43
715,Pennsylvania,Bradford,40
716,Pennsylvania,Bucks,39
717,Pennsylvania,Cambria,46
718,Pennsylvania,Centre,45
719,Pennsylvania,Chester,45
720,Pennsylvania,Cumberland,44
721,Pennsylvania,Dauphin,52
722,Pennsylvania,Delaware,50
723,Pennsylvania,Elk,35
724,Pennsylvania,Erie,42
725,Pennsylvania,Fayette,44
726,Pennsylvania,Franklin,39
727,Pennsylvania,Greene,44
728,Pennsylvania,Indiana,41
729,Pennsylvania,Lackawanna,44
730,Pennsylvania,Lancaster,58
731,Pennsylvania,Lawrence,34
732,Pennsylvania,Lebanon,47
733,Pennsylvania,Lehigh,43
734,Pennsylvania,Lycoming,38
735,Pennsylvania,Mercer,44
736,Pennsylvania,Monroe,34
737,Pennsylvania,Montgomery,44
738,Pennsylvania,Northampton,46
739,Pennsylvania,Philadelphia,58
740,Pennsylvania,Somerset,35
741,Pennsylvania,Susquehanna,28
742,Pennsylvania,Tioga,41
743,Pennsylvania,Washington,51
744,Pennsylvania,Westmoreland,42
745,Pennsylvania,Wyoming,27
746,Pennsylvania,York,48
747,Puerto Rico,Bayamon,22
748,Puerto Rico,Caguas,6
749,Puerto Rico,Catano,52
750,Puerto Rico,Fajardo,30
751,Puerto Rico,Guayama,15
752,Puerto Rico,Guaynabo,32
753,Puerto Rico,Mayagnez,25
754,Puerto Rico,Ponce,30
755,Rhode Island,Kent,40
756,Rhode Island,Providence,46
757,Rhode Island,Washington,40
758,South Carolina,Aiken,39
759,South Carolina,Anderson,42
760,South Carolina,Berkeley,36
761,South Carolina,Charleston,47
762,South Carolina,Chesterfield,42
763,South Carolina,Darlington,40
764,South Carolina,Edgefield,44
765,South Carolina,Florence,49
766,South Carolina,Greenville,52
767,South Carolina,Horry,43
768,South Carolina,Lexington,41
769,South Carolina,Richland,47
770,South Carolina,Spartanburg,51
771,South Carolina,York,47
772,South Dakota,Brookings,42
773,South Dakota,Brown,29
774,South Dakota,Clay,43
775,South Dakota,Codington,45
776,South Dakota,Custer,43
777,South Dakota,Hughes,14
778,South Dakota,Jackson,43
779,South Dakota,Meade,43
780,South Dakota,Minnehaha,44
781,South Dakota,Pennington,45
782,Tennessee,Anderson,41
783,Tennessee,Blount,46
784,Tennessee,Claiborne,38
785,Tennessee,Davidson,53
786,Tennessee,DeKalb,37
787,Tennessee,Dyer,39
788,Tennessee,Hamilton,51
789,Tennessee,Jefferson,42
790,Tennessee,Knox,52
791,Tennessee,Lawrence,41
792,Tennessee,Loudon,42
793,Tennessee,Madison,43
794,Tennessee,Maury,36
795,Tennessee,McMinn,39
796,Tennessee,Montgomery,36
797,Tennessee,Putnam,38
798,Tennessee,Roane,36
799,Tennessee,Sevier,45
800,Tennessee,Shelby,52
801,Tennessee,Sullivan,42
802,Tennessee,Sumner,45
803,Tennessee,Williamson,43
804,Tennessee,Wilson,42
805,Texas,Atascosa,42
806,Texas,Bell,44
807,Texas,Bexar,52
808,Texas,Bowie,53
809,Texas,Brazoria,36
810,Texas,Brazos,39
811,Texas,Brewster,43
812,Texas,Cameron,54
813,Texas,Collin,41
814,Texas,Culberson,20
815,Texas,Dallas,55
816,Texas,Denton,49
817,Texas,Ector,33
818,Texas,El Paso,64
819,Texas,Ellis,36
820,Texas,Galveston,51
821,Texas,Gregg,35
822,Texas,Harris,64
823,Texas,Harrison,47
824,Texas,Hidalgo,44
825,Texas,Hood,39
826,Texas,Hunt,37
827,Texas,Jefferson,54
828,Texas,Johnson,38
829,Texas,Karnes,7
830,Texas,Kaufman,46
831,Texas,Kleberg,44
832,Texas,Lubbock,25
833,Texas,Maverick,34
834,Texas,McLennan,52
835,Texas,Montgomery,53
836,Texas,Navarro,46
837,Texas,Nueces,48
838,Texas,Orange,46
839,Texas,Parker,39
840,Texas,Polk,37
841,Texas,Potter,26
842,Texas,Randall,44
843,Texas,Rockwall,34
844,Texas,Smith,38
845,Texas,Tarrant,57
846,Texas,Travis,54
847,Texas,Victoria,31
848,Texas,Webb,44
849,Texas,Wilson,7
850,Utah,Box Elder,38
851,Utah,Cache,48
852,Utah,Carbon,42
853,Utah,Davis,47
854,Utah,Duchesne,51
855,Utah,Garfield,10
856,Utah,Grand,49
857,Utah,Iron,42
858,Utah,Salt Lake,54
859,Utah,San Juan,45
860,Utah,Tooele,45
861,Utah,Uintah,50
862,Utah,Utah,48
863,Utah,Washington,43
864,Utah,Wayne,12
865,Utah,Weber,47
866,Vermont,Bennington,38
867,Vermont,Chittenden,42
868,Vermont,Rutland,38
869,Vermont,Windham,14
870,Virgin Islands,St John,22
871,Virginia,Albemarle,44
872,Virginia,Arlington,38
873,Virginia,Bristol City,39
874,Virginia,Caroline,40
875,Virginia,Carroll,9
876,Virginia,Charles,40
877,Virginia,Chesterfield,41
878,Virginia,Fairfax,46
879,Virginia,Fauquier,39
880,Virginia,Frederick,44
881,Virginia,Giles,39
882,Virginia,Hampton City,43
883,Virginia,Hanover,40
884,Virginia,Henrico,46
885,Virginia,Hopewell City,7
886,Virginia,Loudoun,39
887,Virginia,Lynchburg City,34
888,Virginia,Madison,42
889,Virginia,Norfolk City,18
890,Virginia,Prince Edward,34
891,Virginia,Prince William,37
892,Virginia,Richmond City,45
893,Virginia,Roanoke,43
894,Virginia,Rockbridge,37
895,Virginia,Rockingham,37
896,Virginia,Salem City,36
897,Virginia,Stafford,37
898,Virginia,Suffolk City,40
899,Virginia,Virginia Beach City,41
900,Virginia,Wythe,40
901,Washington,Adams,21
902,Washington,Asotin,49
903,Washington,Benton,41
904,Washington,Chelan,34
905,Washington,Clallam,37
906,Washington,Clark,35
907,Washington,Columbia,39
908,Washington,Cowlitz,22
909,Washington,Franklin,26
910,Washington,Garfield,17
911,Washington,Grant,32
912,Washington,Grays Harbor,23
913,Washington,Jefferson,21
914,Washington,King,46
915,Washington,Kitsap,22
916,Washington,Kittitas,29
917,Washington,Klickitat,20
918,Washington,Lewis,25
919,Washington,Mason,24
920,Washington,Okanogan,49
921,Washington,Pacific,20
922,Washington,Pierce,42
923,Washington,Skagit,30
924,Washington,Snohomish,38
925,Washington,Spokane,42
926,Washington,Stevens,46
927,Washington,Thurston,28
928,Washington,Walla Walla,28
929,Washington,Whatcom,31
930,Washington,Whitman,26
931,Washington,Yakima,46
932,West Virginia,Berkeley,44
933,West Virginia,Brooke,19
934,West Virginia,Cabell,44
935,West Virginia,Greenbrier,38
936,West Virginia,Hancock,36
937,West Virginia,Harrison,39
938,West Virginia,Kanawha,42
939,West Virginia,Marion,39
940,West Virginia,Marshall,52
941,West Virginia,Monongalia,42
942,West Virginia,Ohio,41
943,West Virginia,Tucker,36
944,West Virginia,Wood,41
945,Wisconsin,Ashland,40
946,Wisconsin,Brown,44
947,Wisconsin,Columbia,44
948,Wisconsin,Dane,50
949,Wisconsin,Dodge,46
950,Wisconsin,Door,41
951,Wisconsin,Eau Claire,46
952,Wisconsin,Fond du Lac,41
953,Wisconsin,Forest,42
954,Wisconsin,Grant,48
955,Wisconsin,Jackson,33
956,Wisconsin,Jefferson,44
957,Wisconsin,Kenosha,48
958,Wisconsin,Kewaunee,43
959,Wisconsin,La Crosse,45
960,Wisconsin,Manitowoc,40
961,Wisconsin,Marathon,41
962,Wisconsin,Milwaukee,52
963,Wisconsin,Monroe,37
964,Wisconsin,Outagamie,48
965,Wisconsin,Ozaukee,45
966,Wisconsin,Racine,44
967,Wisconsin,Rock,46
968,Wisconsin,Sauk,44
969,Wisconsin,Sheboygan,45
970,Wisconsin,Taylor,43
971,Wisconsin,Vilas,39
972,Wisconsin,Walworth,44
973,Wisconsin,Waukesha,52
974,Wyoming,Albany,48
975,Wyoming,Big Horn,39
976,Wyoming,Campbell,45
977,Wyoming,Carbon,8
978,Wyoming,Converse,42
979,Wyoming,Fremont,49
980,Wyoming,Johnson,40
981,Wyoming,Laramie,45
982,Wyoming,Lincoln,44
983,Wyoming,Natrona,42
984,Wyoming,Park,14
985,Wyoming,Platte,14
986,Wyoming,Sheridan,43
987,Wyoming,Sublette,47
988,Wyoming,Sweetwater,47
989,Wyoming,Teton,43
990,Wyoming,Uinta,6
991,Wyoming,Weston,42
