,County,Income,State
856,Grundy,65012,Delaware
857,Guthrie,68446,Delaware
858,Hamilton,60409,Delaware
859,Hancock,63316,Delaware
860,Hardin,77229,Delaware
861,Harrison,59741,Delaware
862,Henry,52183,Delaware
863,Howard,63532,Delaware
864,Humboldt,59055,Delaware
865,Ida,76071,Delaware
867,Jackson,56935,Iowa
868,Jasper,52040,Iowa
869,Jefferson,57961,Iowa
870,Johnson,63487,Iowa
871,Jones,55571,Iowa
872,Keokuk,56070,Iowa
873,Kossuth,63562,Iowa
874,Lee,52269,Iowa
875,Linn,63407,Iowa
876,Louisa,53254,Iowa
877,Lucas,49937,Iowa
878,Lyon,68302,Iowa
879,Madison,61924,Iowa
880,Mahaska,55210,Iowa
881,Marion,64302,Iowa
882,Marshall,49357,Iowa
883,Mills,69748,Iowa
884,Mitchell,110907,Iowa
885,Monona,60126,Iowa
886,Monroe,58282,Iowa
887,Montgomery,50995,Iowa
888,Muscatine,57595,Iowa
889,O'Brien,63799,Iowa
890,Osceola,60171,Iowa
891,Page,54431,Iowa
892,Palo Alto,59206,Iowa
893,Plymouth,66979,Iowa
894,Pocahontas,56936,Iowa
895,Polk,66761,Iowa
896,Pottawattamie,58306,Iowa
897,Poweshiek,56638,Iowa
898,Ringgold,54984,Iowa
899,Sac,75597,Iowa
900,Scott,66748,Iowa
901,Shelby,64704,Iowa
902,Sioux,67668,Iowa
903,Story,55798,Iowa
904,Tama,56041,Iowa
905,Taylor,54697,Iowa
906,Union,50034,Iowa
907,Van Buren,48677,Iowa
908,Wapello,47419,Iowa
909,Warren,64502,Iowa
911,Wayne,53428,Washington
912,Webster,53213,Washington
913,Winnebago,53158,Washington
914,Winneshiek,62049,Washington
915,Woodbury,53685,Washington
916,Worth,56008,Washington
917,Wright,68410,Washington
920,Allen,50687,Kansas
921,Anderson,54518,Kansas
922,Atchison,45739,Kansas
923,Barber,59643,Kansas
924,Barton,59485,Kansas
925,Bourbon,49298,Kansas
926,Brown,54718,Kansas
927,Butler,57748,Kansas
928,Chase,66523,Kansas
929,Chautauqua,47835,Kansas
930,Cherokee,55543,Kansas
931,Cheyenne,64275,Kansas
932,Clark,60744,Kansas
933,Clay,53949,Kansas
934,Cloud,53067,Kansas
935,Coffey,58337,Kansas
936,Comanche,60615,Kansas
937,Cowley,47207,Kansas
938,Crawford,47790,Kansas
939,Decatur,65912,Kansas
940,Dickinson,51568,Kansas
941,Doniphan,51625,Kansas
942,Douglas,56846,Kansas
943,Edwards,74594,Kansas
944,Elk,47572,Kansas
945,Ellis,58661,Kansas
946,Ellsworth,52060,Kansas
947,Finney,52953,Kansas
948,Ford,48219,Kansas
949,Franklin,51709,Kansas
950,Geary,53932,Kansas
951,Gove,93617,Kansas
952,Graham,72489,Kansas
953,Grant,55067,Kansas
954,Gray,75419,Kansas
955,Greeley,104174,Kansas
956,Greenwood,53469,Kansas
957,Hamilton,96996,Kansas
958,Harper,64601,Kansas
959,Harvey,54695,Kansas
960,Haskell,86892,Kansas
961,Hodgeman,74269,Kansas
962,Jackson,53147,Kansas
963,Jefferson,58042,Kansas
964,Jewell,68978,Kansas
965,Johnson,102693,Kansas
966,Kearny,69427,Kansas
967,Kingman,59356,Kansas
968,Kiowa,56167,Kansas
969,Labette,51806,Kansas
970,Lane,98681,Kansas
971,Leavenworth,53757,Kansas
972,Lincoln,57773,Kansas
973,Linn,50711,Kansas
974,Logan,69978,Kansas
975,Lyon,49529,Kansas
976,McPherson,64594,Kansas
977,Marion,52183,Kansas
978,Marshall,50960,Kansas
979,Meade,75656,Kansas
980,Miami,63817,Kansas
981,Mitchell,78857,Kansas
982,Montgomery,46735,Kansas
983,Morris,56022,Kansas
984,Morton,61783,Kansas
985,Nemaha,71607,Kansas
986,Neosho,50698,Kansas
987,Ness,77970,Kansas
988,Norton,61506,Kansas
989,Osage,53431,Kansas
990,Osborne,66994,Kansas
991,Ottawa,55673,Kansas
992,Pawnee,51405,Kansas
993,Phillips,71198,Kansas
994,Pottawatomie,65218,Kansas
995,Pratt,60341,Kansas
996,Rawlins,75897,Kansas
997,Reno,51423,Kansas
998,Republic,54892,Kansas
999,Rice,55134,Kansas
1000,Riley,53971,Kansas
1001,Rooks,55630,Kansas
1002,Rush,66255,Kansas
1003,Russell,59870,Kansas
1004,Saline,60591,Kansas
1005,Scott,68367,Kansas
1006,Sedgwick,61462,Kansas
1007,Seward,47846,Kansas
1008,Shawnee,58412,Kansas
1009,Sheridan,64147,Kansas
1010,Sherman,57304,Kansas
1011,Smith,67860,Kansas
1012,Stafford,60316,Kansas
1013,Stanton,91580,Kansas
1014,Stevens,57057,Kansas
1015,Sumner,51274,Kansas
1016,Thomas,60027,Kansas
1017,Trego,70367,Kansas
1018,Wabaunsee,60700,Kansas
1019,Wallace,59710,Kansas
1021,Wichita,66361,Washington
1022,Wilson,52380,Washington
1023,Woodson,49343,Washington
1024,Wyandotte,41273,Washington
1027,Adair,43430,Kentucky
1028,Allen,41417,Kentucky
1029,Anderson,48357,Kentucky
1030,Ballard,54570,Kentucky
1031,Barren,44502,Kentucky
1032,Bath,40141,Kentucky
1033,Bell,42353,Kentucky
1034,Boone,62066,Kentucky
1035,Bourbon,60106,Kentucky
1036,Boyd,49074,Kentucky
1037,Boyle,49125,Kentucky
1038,Bracken,46473,Kentucky
1039,Breathitt,42633,Kentucky
1040,Breckinridge,42080,Kentucky
1041,Bullitt,54121,Kentucky
1042,Butler,44967,Kentucky
1043,Caldwell,45883,Kentucky
1044,Calloway,45760,Kentucky
1045,Campbell,66222,Kentucky
1046,Carlisle,57656,Kentucky
1047,Carroll,48948,Kentucky
1048,Carter,40853,Kentucky
1049,Casey,42262,Kentucky
1050,Christian,46804,Kentucky
1051,Clark,51148,Kentucky
1052,Clay,40899,Kentucky
1053,Clinton,44343,Kentucky
1054,Crittenden,44336,Kentucky
1055,Cumberland,54202,Kentucky
1056,Daviess,52446,Kentucky
1057,Edmonson,41551,Kentucky
1058,Elliott,29689,Kentucky
1059,Estill,42324,Kentucky
1060,Fayette,65766,Kentucky
1061,Fleming,42128,Kentucky
1062,Floyd,45540,Kentucky
1063,Franklin,52606,Kentucky
1064,Fulton,43619,Kentucky
1065,Gallatin,45611,Kentucky
1066,Garrard,46035,Kentucky
1067,Grant,47749,Kentucky
1068,Graves,51262,Kentucky
1069,Grayson,43794,Kentucky
1070,Green,43751,Kentucky
1071,Greenup,50917,Kentucky
1072,Hancock,64129,Kentucky
1073,Hardin,56117,Kentucky
1074,Harlan,40111,Kentucky
1075,Harrison,44682,Kentucky
1076,Hart,44753,Kentucky
1077,Henderson,55562,Kentucky
1078,Henry,52499,Kentucky
1079,Hickman,54753,Kentucky
1080,Hopkins,49158,Kentucky
1081,Jackson,39236,Kentucky
1082,Jefferson,67663,Kentucky
1083,Jessamine,61703,Kentucky
1084,Johnson,41188,Kentucky
1085,Kenton,73345,Kentucky
1086,Knott,44273,Kentucky
1087,Knox,39065,Kentucky
1088,Larue,43899,Kentucky
1089,Laurel,42337,Kentucky
1090,Lawrence,41198,Kentucky
1091,Lee,36462,Kentucky
1092,Leslie,41877,Kentucky
1093,Letcher,42346,Kentucky
1094,Lewis,41161,Kentucky
1095,Lincoln,41970,Kentucky
1096,Livingston,49169,Kentucky
1097,Logan,47354,Kentucky
1098,Lyon,44255,Kentucky
1099,McCracken,64990,Kentucky
1100,McCreary,35036,Kentucky
1101,McLean,49877,Kentucky
1102,Madison,48025,Kentucky
1103,Magoffin,44371,Kentucky
1104,Marion,46832,Kentucky
1105,Marshall,52573,Kentucky
1106,Martin,33523,Kentucky
1107,Mason,51314,Kentucky
1108,Meade,49710,Kentucky
1109,Menifee,42933,Kentucky
1110,Mercer,46920,Kentucky
1111,Metcalfe,38441,Kentucky
1112,Monroe,44980,Kentucky
1113,Montgomery,45753,Kentucky
1114,Morgan,34380,Kentucky
1115,Muhlenberg,42598,Kentucky
1116,Nelson,56564,Kentucky
1117,Nicholas,41289,Kentucky
1119,Oldham,82531,Ohio
1120,Owen,41220,Ohio
1121,Owsley,49867,Ohio
1122,Pendleton,48191,Ohio
1123,Perry,46219,Ohio
1124,Pike,46272,Ohio
1125,Powell,40504,Ohio
1126,Pulaski,49580,Ohio
1127,Robertson,41010,Ohio
1128,Rockcastle,42505,Ohio
1129,Rowan,40762,Ohio
1130,Russell,57716,Ohio
1131,Scott,56801,Ohio
1132,Shelby,61248,Ohio
1133,Simpson,46907,Ohio
1134,Spencer,59165,Ohio
1135,Taylor,42772,Ohio
1136,Todd,50116,Ohio
1137,Trigg,48027,Ohio
1138,Trimble,49796,Ohio
1139,Union,53319,Ohio
1140,Warren,48546,Ohio
1142,Wayne,37963,Washington
1143,Webster,51507,Washington
1144,Whitley,44924,Washington
1145,Wolfe,48386,Washington
1146,Woodford,65575,Washington
1149,Acadia,48445,Louisiana
1150,Allen,44650,Louisiana
1151,Ascension,63811,Louisiana
1152,Assumption,63846,Louisiana
1153,Avoyelles,48298,Louisiana
1154,Beauregard,52717,Louisiana
1155,Bienville,48274,Louisiana
1156,Bossier,56326,Louisiana
1157,Caddo,64383,Louisiana
1158,Calcasieu,54129,Louisiana
1159,Caldwell,42350,Louisiana
1160,Cameron,65580,Louisiana
1161,Catahoula,47040,Louisiana
1162,Claiborne,44286,Louisiana
1163,Concordia,44999,Louisiana
1164,De Soto,57251,Louisiana
1165,East Baton Rouge,66726,Louisiana
1166,East Carroll,35475,Louisiana
1167,East Feliciana,50032,Louisiana
1168,Evangeline,43355,Louisiana
1169,Franklin,42154,Louisiana
1170,Grant,39914,Louisiana
1171,Iberia,49213,Louisiana
1172,Iberville,55730,Louisiana
1173,Jackson,44759,Louisiana
1174,Jefferson,63448,Louisiana
1175,Jefferson Davis,48106,Louisiana
1176,Lafayette,66179,Louisiana
1177,Lafourche,57643,Louisiana
1178,LaSalle,40622,Louisiana
1179,Lincoln,50986,Louisiana
1180,Livingston,52193,Louisiana
1181,Madison,44624,Louisiana
1182,Morehouse,45316,Louisiana
1183,Natchitoches,52510,Louisiana
1184,Orleans,67403,Louisiana
1185,Ouachita,49818,Louisiana
1186,Plaquemines,58920,Louisiana
1187,Pointe Coupee,60708,Louisiana
1188,Rapides,56169,Louisiana
1189,Red River,59240,Louisiana
1190,Richland,47254,Louisiana
1191,Sabine,48715,Louisiana
1192,St. Bernard,43959,Louisiana
1193,St. Charles,60180,Louisiana
1194,St. Helena,48813,Louisiana
1195,St. James,70185,Louisiana
1196,St. John the Baptist,47598,Louisiana
1197,St. Landry,48881,Louisiana
1198,St. Martin,48737,Louisiana
1199,St. Mary,51224,Louisiana
1200,St. Tammany,78246,Louisiana
1201,Tangipahoa,50875,Louisiana
1202,Tensas,49739,Louisiana
1203,Terrebonne,53834,Louisiana
1204,Union,49698,Louisiana
1205,Vermilion,49563,Louisiana
1206,Vernon,50611,Louisiana
1208,Webster,54025,Washington
1209,West Baton Rouge,57094,Washington
1210,West Carroll,44689,Washington
1211,West Feliciana,47362,Washington
1212,Winn,49490,Washington
1215,Androscoggin,53731,Maine
1216,Aroostook,53650,Maine
1217,Cumberland,84606,Maine
1218,Franklin,50394,Maine
1219,Hancock,68181,Maine
1220,Kennebec,58278,Maine
1221,Knox,67794,Maine
1222,Lincoln,66465,Maine
1223,Oxford,50165,Maine
1224,Penobscot,53978,Maine
1225,Piscataquis,54776,Maine
1226,Sagadahoc,67538,Maine
1227,Somerset,50486,Maine
1228,Waldo,56702,Maine
1230,York,70640,Washington
1233,Allegany,49182,Maryland
1234,Anne Arundel,84019,Maryland
1235,Baltimore,74738,Maryland
1236,Calvert,76018,Maryland
1237,Caroline,56447,Maryland
1238,Carroll,74895,Maryland
1239,Cecil,59373,Maryland
1240,Charles,66642,Maryland
1241,Dorchester,57060,Maryland
1242,Frederick,76664,Maryland
1243,Garrett,57525,Maryland
1244,Harford,71196,Maryland
1245,Howard,95529,Maryland
1246,Kent,77025,Maryland
1247,Montgomery,100044,Maryland
1248,Prince George's,57096,Maryland
1249,Queen Anne's,83650,Maryland
1250,St. Mary's,70353,Maryland
1251,Somerset,37345,Maryland
1252,Talbot,98166,Maryland
1254,Wicomico,48596,Washington
1255,Worcester,68163,Washington
1256,Baltimore City,64357,Washington
1259,Barnstable,92417,Massachusetts
1260,Berkshire,70945,Massachusetts
1261,Bristol,67109,Massachusetts
1262,Dukes,98605,Massachusetts
1263,Essex,84017,Massachusetts
1264,Franklin,67327,Massachusetts
1265,Hampden,64105,Massachusetts
1266,Hampshire,63544,Massachusetts
1267,Middlesex,108773,Massachusetts
1268,Nantucket,120333,Massachusetts
1269,Norfolk,115585,Massachusetts
1270,Plymouth,84693,Massachusetts
1271,Suffolk,107027,Massachusetts
1272,Worcester,69301,Massachusetts
1275,Alcona,50791,Michigan
1276,Alger,44619,Michigan
1277,Allegan,58048,Michigan
1278,Alpena,51634,Michigan
1279,Antrim,59391,Michigan
1280,Arenac,49129,Michigan
1281,Baraga,43301,Michigan
1282,Barry,59401,Michigan
1283,Bay,52579,Michigan
1284,Benzie,60458,Michigan
1285,Berrien,61127,Michigan
1286,Branch,44833,Michigan
1287,Calhoun,47947,Michigan
1288,Cass,57612,Michigan
1289,Charlevoix,71589,Michigan
1290,Cheboygan,50689,Michigan
1291,Chippewa,46492,Michigan
1292,Clare,43823,Michigan
1293,Clinton,60589,Michigan
1294,Crawford,43627,Michigan
1295,Delta,47667,Michigan
1296,Dickinson,57116,Michigan
1297,Eaton,54197,Michigan
1298,Emmet,75812,Michigan
1299,Genesee,52520,Michigan
1300,Gladwin,46537,Michigan
1301,Gogebic,51349,Michigan
1302,Grand Traverse,67800,Michigan
1303,Gratiot,45517,Michigan
1304,Hillsdale,44820,Michigan
1305,Houghton,45077,Michigan
1306,Huron,61320,Michigan
1307,Ingham,52560,Michigan
1308,Ionia,43547,Michigan
1309,Iosco,48318,Michigan
1310,Iron,50425,Michigan
1311,Isabella,48011,Michigan
1312,Jackson,48818,Michigan
1313,Kalamazoo,63668,Michigan
1314,Kalkaska,45992,Michigan
1315,Kent,70662,Michigan
1316,Keweenaw,60716,Michigan
1317,Lake,38030,Michigan
1318,Lapeer,53743,Michigan
1319,Leelanau,85936,Michigan
1320,Lenawee,51391,Michigan
1321,Livingston,73173,Michigan
1322,Luce,36921,Michigan
1323,Mackinac,58255,Michigan
1324,Macomb,58565,Michigan
1325,Manistee,48967,Michigan
1326,Marquette,49300,Michigan
1327,Mason,50216,Michigan
1328,Mecosta,45437,Michigan
1329,Menominee,50410,Michigan
1330,Midland,64106,Michigan
1331,Missaukee,45640,Michigan
1332,Monroe,59956,Michigan
1333,Montcalm,42499,Michigan
1334,Montmorency,44409,Michigan
1335,Muskegon,49244,Michigan
1336,Newaygo,46317,Michigan
1337,Oakland,90781,Michigan
1338,Oceana,48691,Michigan
1339,Ogemaw,42668,Michigan
1340,Ontonagon,49622,Michigan
1341,Osceola,49882,Michigan
1342,Oscoda,46389,Michigan
1343,Otsego,51685,Michigan
1344,Ottawa,63265,Michigan
1345,Presque Isle,50126,Michigan
1346,Roscommon,47034,Michigan
1347,Saginaw,50278,Michigan
1348,St. Clair,55834,Michigan
1349,St. Joseph,49695,Michigan
1350,Sanilac,50153,Michigan
1351,Schoolcraft,48919,Michigan
1352,Shiawassee,50443,Michigan
1353,Tuscola,47501,Michigan
1354,Van Buren,52427,Michigan
1355,Washtenaw,77537,Michigan
1356,Wayne,52727,Michigan
1357,Wexford,45996,Michigan
1360,Aitkin,51695,Minnesota
1361,Anoka,62935,Minnesota
1362,Becker,60360,Minnesota
1363,Beltrami,53382,Minnesota
1364,Benton,56137,Minnesota
1365,Big Stone,66381,Minnesota
1366,Blue Earth,55016,Minnesota
1367,Brown,64232,Minnesota
1368,Carlton,52392,Minnesota
1369,Carver,93242,Minnesota
1370,Cass,57880,Minnesota
1371,Chippewa,56174,Minnesota
1372,Chisago,62286,Minnesota
1373,Clay,53925,Minnesota
1374,Clearwater,54531,Minnesota
1375,Cook,65513,Minnesota
1376,Cottonwood,59882,Minnesota
1377,Crow Wing,56919,Minnesota
1378,Dakota,75019,Minnesota
1379,Dodge,60718,Minnesota
1380,Douglas,65827,Minnesota
1381,Faribault,55356,Minnesota
1382,Fillmore,56844,Minnesota
1383,Freeborn,56100,Minnesota
1384,Goodhue,65921,Minnesota
1385,Grant,58301,Minnesota
1386,Hennepin,95574,Minnesota
1387,Houston,63545,Minnesota
1388,Hubbard,57515,Minnesota
1389,Isanti,55537,Minnesota
1390,Itasca,54574,Minnesota
1391,Jackson,61129,Minnesota
1392,Kanabec,51455,Minnesota
1393,Kandiyohi,61664,Minnesota
1394,Kittson,64925,Minnesota
1395,Koochiching,55115,Minnesota
1396,Lac qui Parle,66536,Minnesota
1397,Lake,57668,Minnesota
1398,Lake of the Woods,64010,Minnesota
1399,Le Sueur,63719,Minnesota
1400,Lincoln,60182,Minnesota
1401,Lyon,61228,Minnesota
1402,McLeod,61496,Minnesota
1403,Mahnomen,48138,Minnesota
1404,Marshall,72481,Minnesota
1405,Martin,60933,Minnesota
1406,Meeker,56379,Minnesota
1407,Mille Lacs,53553,Minnesota
1408,Morrison,53069,Minnesota
1409,Mower,56722,Minnesota
1410,Murray,67663,Minnesota
1411,Nicollet,60524,Minnesota
1412,Nobles,57743,Minnesota
1413,Norman,53560,Minnesota
1414,Olmsted,71904,Minnesota
1415,Otter Tail,59478,Minnesota
1416,Pennington,68190,Minnesota
1417,Pine,46122,Minnesota
1418,Pipestone,69853,Minnesota
1419,Polk,60175,Minnesota
1420,Pope,63885,Minnesota
1421,Ramsey,69310,Minnesota
1422,Red Lake,67464,Minnesota
1423,Redwood,76945,Minnesota
1424,Renville,62855,Minnesota
1425,Rice,55702,Minnesota
1426,Rock,61899,Minnesota
1427,Roseau,61800,Minnesota
1428,St. Louis,59235,Minnesota
1429,Scott,81213,Minnesota
1430,Sherburne,59643,Minnesota
1431,Sibley,60166,Minnesota
1432,Stearns,63053,Minnesota
1433,Steele,58222,Minnesota
1434,Stevens,57718,Minnesota
1435,Swift,69348,Minnesota
1436,Todd,62276,Minnesota
1437,Traverse,82905,Minnesota
1438,Wabasha,62412,Minnesota
1439,Wadena,49621,Minnesota
1440,Waseca,60130,Minnesota
1442,Watonwan,55976,Washington
1443,Wilkin,74577,Washington
1444,Winona,58318,Washington
1445,Wright,65241,Washington
1446,Yellow Medicine,71912,Washington
1449,Adams,45973,Mississippi
1450,Alcorn,47651,Mississippi
1451,Amite,42205,Mississippi
1452,Attala,42656,Mississippi
1453,Benton,45081,Mississippi
1454,Bolivar,51015,Mississippi
1455,Calhoun,42728,Mississippi
1456,Carroll,45400,Mississippi
1457,Chickasaw,39952,Mississippi
1458,Choctaw,42655,Mississippi
1459,Claiborne,38756,Mississippi
1460,Clarke,46428,Mississippi
1461,Clay,51599,Mississippi
1462,Coahoma,47742,Mississippi
1463,Copiah,42003,Mississippi
1464,Covington,47970,Mississippi
1465,DeSoto,56470,Mississippi
1466,Forrest,45405,Mississippi
1467,Franklin,42359,Mississippi
1468,George,41804,Mississippi
1469,Greene,34362,Mississippi
1470,Grenada,44304,Mississippi
1471,Hancock,48425,Mississippi
1472,Harrison,48902,Mississippi
1473,Hinds,51350,Mississippi
1474,Holmes,38193,Mississippi
1475,Humphreys,43876,Mississippi
1476,Issaquena,36046,Mississippi
1477,Itawamba,42737,Mississippi
1478,Jackson,48028,Mississippi
1479,Jasper,45999,Mississippi
1480,Jefferson,41876,Mississippi
1481,Jefferson Davis,40428,Mississippi
1482,Jones,49765,Mississippi
1483,Kemper,39625,Mississippi
1484,Lafayette,52791,Mississippi
1485,Lamar,51997,Mississippi
1486,Lauderdale,50952,Mississippi
1487,Lawrence,45871,Mississippi
1488,Leake,41066,Mississippi
1489,Lee,54255,Mississippi
1490,Leflore,51319,Mississippi
1491,Lincoln,47781,Mississippi
1492,Lowndes,51172,Mississippi
1493,Madison,86331,Mississippi
1494,Marion,42902,Mississippi
1495,Marshall,46470,Mississippi
1496,Monroe,44517,Mississippi
1497,Montgomery,42976,Mississippi
1498,Neshoba,47423,Mississippi
1499,Newton,41357,Mississippi
1500,Noxubee,44881,Mississippi
1501,Oktibbeha,42241,Mississippi
1502,Panola,43391,Mississippi
1503,Pearl River,47020,Mississippi
1504,Perry,40688,Mississippi
1505,Pike,39426,Mississippi
1506,Pontotoc,43359,Mississippi
1507,Prentiss,39413,Mississippi
1508,Quitman,44213,Mississippi
1509,Rankin,56864,Mississippi
1510,Scott,39510,Mississippi
1511,Sharkey,57998,Mississippi
1512,Simpson,47645,Mississippi
1513,Smith,47687,Mississippi
1514,Stone,42642,Mississippi
1515,Sunflower,39498,Mississippi
1516,Tallahatchie,44389,Mississippi
1517,Tate,47426,Mississippi
1518,Tippah,45880,Mississippi
1519,Tishomingo,45018,Mississippi
1520,Tunica,48516,Mississippi
1521,Union,42339,Mississippi
1522,Walthall,38989,Mississippi
1523,Warren,52095,Mississippi
1525,Wayne,46161,Washington
1526,Webster,47027,Washington
1527,Wilkinson,38503,Washington
1528,Winston,46075,Washington
1529,Yalobusha,44057,Washington
1530,Yazoo,38819,Washington
1533,Adair,40269,Missouri
1534,Andrew,54504,Missouri
1535,Atchison,56745,Missouri
1536,Audrain,49114,Missouri
1537,Barry,45250,Missouri
1538,Barton,46659,Missouri
1539,Bates,51168,Missouri
1540,Benton,46819,Missouri
1541,Bollinger,48705,Missouri
1542,Boone,60158,Missouri
1543,Buchanan,51741,Missouri
1544,Butler,46048,Missouri
1545,Caldwell,47876,Missouri
1546,Callaway,50652,Missouri
1547,Camden,55182,Missouri
1548,Cape Girardeau,54568,Missouri
1549,Carroll,62919,Missouri
1550,Carter,50444,Missouri
1551,Cass,59720,Missouri
1552,Cedar,40183,Missouri
1553,Chariton,55540,Missouri
1554,Christian,52867,Missouri
1555,Clark,46719,Missouri
1556,Clay,60043,Missouri
1557,Clinton,52880,Missouri
1558,Cole,61479,Missouri
1559,Cooper,54107,Missouri
1560,Crawford,48462,Missouri
1561,Dade,46071,Missouri
1562,Dallas,42354,Missouri
1563,Daviess,40834,Missouri
1564,DeKalb,45223,Missouri
1565,Dent,45672,Missouri
1566,Douglas,39205,Missouri
1567,Dunklin,46434,Missouri
1568,Franklin,57522,Missouri
1569,Gasconade,51240,Missouri
1570,Gentry,52620,Missouri
1571,Greene,56350,Missouri
1572,Grundy,44052,Missouri
1573,Harrison,46633,Missouri
1574,Henry,53157,Missouri
1575,Hickory,43094,Missouri
1576,Holt,63237,Missouri
1577,Howard,52740,Missouri
1578,Howell,44649,Missouri
1579,Iron,45057,Missouri
1580,Jackson,57518,Missouri
1581,Jasper,47246,Missouri
1582,Jefferson,55195,Missouri
1583,Johnson,46540,Missouri
1584,Knox,49243,Missouri
1585,Laclede,48249,Missouri
1586,Lafayette,54277,Missouri
1587,Lawrence,41827,Missouri
1588,Lewis,45237,Missouri
1589,Lincoln,53300,Missouri
1590,Linn,49005,Missouri
1591,Livingston,51058,Missouri
1592,McDonald,38681,Missouri
1593,Macon,54255,Missouri
1594,Madison,45426,Missouri
1595,Maries,45031,Missouri
1596,Marion,52951,Missouri
1597,Mercer,41562,Missouri
1598,Miller,47083,Missouri
1600,Moniteau,51834,Mississippi
1601,Monroe,56061,Mississippi
1602,Montgomery,54811,Mississippi
1603,Morgan,48877,Mississippi
1604,New Madrid,52752,Mississippi
1605,Newton,48357,Mississippi
1606,Nodaway,44338,Mississippi
1608,Osage,56696,Oregon
1609,Ozark,43767,Oregon
1610,Pemiscot,49792,Oregon
1611,Perry,53134,Oregon
1612,Pettis,47237,Oregon
1613,Phelps,48382,Oregon
1614,Pike,45058,Oregon
1615,Platte,73531,Oregon
1616,Polk,46061,Oregon
1617,Pulaski,48289,Oregon
1618,Putnam,47948,Oregon
1619,Ralls,52110,Oregon
1620,Randolph,55106,Oregon
1621,Ray,51625,Oregon
1622,Reynolds,43956,Oregon
1623,Ripley,48138,Oregon
1624,St. Charles,69693,Oregon
1625,St. Clair,40376,Oregon
1626,Ste. Genevieve,50899,Oregon
1627,St. Francois,45576,Oregon
1628,St. Louis,101151,Oregon
1629,Saline,51636,Oregon
1630,Schuyler,45054,Oregon
1631,Scotland,53928,Oregon
1632,Scott,53227,Oregon
1633,Shannon,43901,Oregon
1634,Shelby,52995,Oregon
1635,Stoddard,47497,Oregon
1636,Stone,51791,Oregon
1637,Sullivan,50451,Oregon
1638,Taney,48862,Oregon
1640,Vernon,47572,Texas
1641,Warren,55061,Texas
1643,Wayne,46365,Washington
1644,Webster,43890,Washington
1645,Worth,47533,Washington
1646,Wright,40817,Washington
1647,St. Louis City,63316,Washington
1650,Beaverhead,59595,Montana
1651,Big Horn,39605,Montana
1652,Blaine,38079,Montana
1653,Broadwater,55371,Montana
1654,Carbon,68244,Montana
1655,Carter,44997,Montana
1656,Cascade,60126,Montana
1657,Chouteau,56448,Montana
1658,Custer,55578,Montana
1659,Daniels,60973,Montana
1660,Dawson,53091,Montana
1661,Deer Lodge,51110,Montana
